C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A049,R088,02-03-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,918644,303739
A049,R088,02-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1232350,219704
A049,R088,02-03-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,987943,533407
A049,R088,02-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1058666527,22872086
A049,R088,02-01-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,20449,28892
A049,R088,02-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1058666527,22872086
A049,R088,02-01-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,785869,1371250
A049,R088,02-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,638058496,5177658
A049,R088,02-01-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1304540,1600383
A049,R088,02-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,744968,424316
A049,R088,02-01-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,785869,1371250
A049,R088,02-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,773947,591536
A049,R088,02-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,744968,424316
A049,R088,02-01-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1304540,1600383
A049,R088,02-03-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,987943,533407
A049,R088,02-03-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,918644,303739
A049,R088,02-01-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,20449,28892
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,697367,891859
A049,R088,02-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,638058496,5177658
A049,R088,02-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,872225573,871564864
A049,R088,02-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,697367,891859
A049,R088,02-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1232350,219704
A049,R088,02-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,868902,214730
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3889504,5525486
A050,R088,00-03-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,6633051,1968555
A050,R088,00-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3889504,5525486
A050,R088,00-05-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1408762,1761312
A050,R088,00-02-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,540065,129134
A050,R088,00-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,99520,36463
A050,R088,00-03-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1460369,919077
A050,R088,00-03-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1460369,919077
A050,R088,00-02-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,540065,129134
A050,R088,00-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,321669,673561
A050,R088,00-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,99520,36463
A050,R088,00-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,340192,402015
A050,R088,00-05-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,227917,33430
A050,R088,00-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3941696,4080372
A050,R088,00-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,10648614,2163663
A050,R088,00-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,340192,402015
A050,R088,00-05-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1408762,1761312
A050,R088,00-03-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,6633051,1968555
A050,R088,00-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,321669,673561
A050,R088,00-05-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,227917,33430
A050,R088,00-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,10648614,2163663
A050,R088,00-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3941696,4080372
A050,R088,00-02-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3551073,1767790
A050,R088,00-02-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,3551073,1767790
A052,R088,01-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,23020,56160
A052,R088,01-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,12936,17923
A052,R088,01-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,0,250
A052,R088,01-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,257,0
A052,R088,01-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,0,250
A052,R088,01-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,12936,17923
A052,R088,01-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,15391,12601
A052,R088,01-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,33032,100515
A052,R088,01-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,257,0
A052,R088,01-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,17446,14153
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,23467,26397
A052,R088,01-03-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,33032,100515
A052,R088,01-03-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,23020,56160
A052,R088,01-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,23467,26397
A052,R088,01-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,15391,12601
A052,R088,01-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,17446,14153
A053,R088,03-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,28576,58174
A053,R088,03-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1,693
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1011452,98960
A053,R088,03-00-03,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,28576,58174
A053,R088,03-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,99706,117224
A053,R088,03-05-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1,693
A053,R088,03-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,16096,22786
A053,R088,03-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,852054,0
A053,R088,03-05-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,852054,0
A053,R088,03-00-01,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,16096,22786
A053,R088,03-00-00,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,1011452,98960
A053,R088,03-00-02,CORTLANDT ST,RNW,BMT,12/28/2018,00:00:00,REGULAR,99706,117224
A058,R001,01-00-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1700244,1363076
A058,R001,01-06-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,117817745,485513
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1493069,3464060
A058,R001,01-06-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,134151,29081
A058,R001,01-06-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1525227,3681784
A058,R001,01-06-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,117817745,485513
A058,R001,01-00-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,4299538,1201561
A058,R001,01-00-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,4299538,1201561
A058,R001,01-00-03,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,135101401,50511794
A058,R001,01-00-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1700244,1363076
A058,R001,01-06-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1525227,3681784
A058,R001,01-00-03,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,135101401,50511794
A058,R001,01-06-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,134151,29081
